sample_index,path,true_label,true_index,pred_label,pred_index,fall_probability_max,fall_probability_mean,fall_probability_final,best_window_start,best_window_end,num_windows,num_frames,num_pose_frames,pose_detection_rate,cache_hit
11,F:\GP_Dataset\activities2\Subject07\Activity07\Trial1\Subject7Activity7Trial1Camera1,non_fall,0,non_fall,0,0.0003741913824342191,1.0712536013817748e-05,4.994566182858762e-08,612,683,58,1083,1082,0.9990766389658357,False
12,F:\GP_Dataset\activities2\Subject07\Activity07\Trial1\Subject7Activity7Trial1Camera2,non_fall,0,non_fall,0,0.000998632051050663,1.7296827120482076e-05,2.8458883249982136e-08,594,665,58,1083,1083,1.0,False
13,F:\GP_Dataset\activities2\Subject07\Activity08\Trial1\Subject7Activity8Trial1Camera1,non_fall,0,non_fall,0,0.0915803387761116,0.003070631190238996,7.652656819345793e-08,828,899,58,1088,1088,1.0,False
14,F:\GP_Dataset\activities2\Subject07\Activity08\Trial1\Subject7Activity8Trial1Camera2,non_fall,0,fall,1,0.8559304475784302,0.0559597343142201,0.23930750787258148,720,791,58,1088,1088,1.0,False
15,F:\GP_Dataset\activities2\Subject07\Activity09\Trial1\Subject7Activity9Trial1Camera1,non_fall,0,non_fall,0,0.012464746832847595,0.0015615200206503428,3.122818670320271e-09,0,71,8,189,188,0.9947089947089947,False
16,F:\GP_Dataset\activities2\Subject07\Activity09\Trial1\Subject7Activity9Trial1Camera2,non_fall,0,non_fall,0,0.03608115762472153,0.005918214006492218,0.03608115762472153,117,188,8,189,188,0.9947089947089947,False
17,F:\GP_Dataset\activities2\Subject07\Activity10\Trial1\Subject7Activity10Trial1Camera1,non_fall,0,non_fall,0,3.060315556524529e-09,3.552623191006788e-10,1.056517984210359e-09,468,539,29,573,572,0.9982547993019197,False
18,F:\GP_Dataset\activities2\Subject07\Activity10\Trial1\Subject7Activity10Trial1Camera2,non_fall,0,non_fall,0,0.27510786056518555,0.009528428712370146,5.174587158762733e-07,0,71,29,573,573,1.0,False
19,F:\GP_Dataset\activities2\Subject07\Activity11\Trial1\Subject7Activity11Trial1Camera1,non_fall,0,fall,1,0.996834933757782,0.259143236907016,0.0565747395157814,540,611,52,1120,910,0.8125,False
20,F:\GP_Dataset\activities2\Subject07\Activity11\Trial1\Subject7Activity11Trial1Camera2,non_fall,0,non_fall,0,0.00015955734124872833,4.966273282563621e-06,3.9173056620711577e-07,234,305,60,1120,1119,0.9991071428571429,False
21,F:\GP_Dataset\activities2\Subject08\Activity06\Trial1\Subject8Activity6Trial1Camera1,non_fall,0,non_fall,0,0.018238341435790062,0.0005887893559831482,3.8592588680330664e-07,0,71,56,1046,789,0.754302103250478,False
22,F:\GP_Dataset\activities2\Subject08\Activity06\Trial1\Subject8Activity6Trial1Camera2,non_fall,0,fall,1,0.9990501999855042,0.22726548639699679,0.00836703460663557,414,485,56,1046,1030,0.9847036328871893,False
23,F:\GP_Dataset\activities2\Subject08\Activity07\Trial1\Subject8Activity7Trial1Camera1,non_fall,0,fall,1,0.9945856928825378,0.15424993937128012,0.5436813831329346,882,953,57,1073,1072,0.9990680335507922,False
24,F:\GP_Dataset\activities2\Subject08\Activity07\Trial1\Subject8Activity7Trial1Camera2,non_fall,0,fall,1,0.9996757507324219,0.09538245429700329,0.9994195699691772,918,989,57,1073,1072,0.9990680335507922,False
25,F:\GP_Dataset\activities2\Subject08\Activity08\Trial1\Subject8Activity8Trial1Camera1,non_fall,0,fall,1,0.9999775886535645,0.20616395245346497,4.715673276223242e-05,252,323,57,1066,1065,0.99906191369606,False
26,F:\GP_Dataset\activities2\Subject08\Activity08\Trial1\Subject8Activity8Trial1Camera2,non_fall,0,non_fall,0,0.02476421371102333,0.0008743309594853185,2.590393819446035e-07,738,809,57,1066,1065,0.99906191369606,False
27,F:\GP_Dataset\activities2\Subject08\Activity09\Trial1\Subject8Activity9Trial1Camera1,non_fall,0,non_fall,0,0.022422337904572487,0.004460693772266663,0.005054669454693794,72,143,7,169,169,1.0,False
28,F:\GP_Dataset\activities2\Subject08\Activity09\Trial1\Subject8Activity9Trial1Camera2,non_fall,0,non_fall,0,0.01713690720498562,0.0026842060570808307,0.0015368807362392545,72,143,7,169,169,1.0,False
29,F:\GP_Dataset\activities2\Subject08\Activity10\Trial1\Subject8Activity10Trial1Camera1,non_fall,0,non_fall,0,1.764975968399085e-05,1.2392894251114585e-06,3.498910328136873e-10,72,143,28,543,543,1.0,False
30,F:\GP_Dataset\activities2\Subject08\Activity10\Trial1\Subject8Activity10Trial1Camera2,non_fall,0,non_fall,0,4.375499074171785e-08,1.8632910594226088e-09,1.8604577513986476e-12,270,341,28,543,543,1.0,False
31,F:\GP_Dataset\activities2\Subject08\Activity11\Trial1\Subject8Activity11Trial1Camera1,non_fall,0,fall,1,0.9999980926513672,0.25717578924325885,0.00016366323688998818,36,107,57,1079,1078,0.9990732159406858,False
32,F:\GP_Dataset\activities2\Subject08\Activity11\Trial1\Subject8Activity11Trial1Camera2,non_fall,0,non_fall,0,0.01382416021078825,0.00030554144135624457,3.958077421373218e-09,486,557,57,1079,1079,1.0,False
33,F:\GP_Dataset\activities2\Subject09\Activity06\Trial1\Subject9Activity6Trial1Camera1,non_fall,0,non_fall,0,0.07537015527486801,0.003596936125721625,1.1621847928466877e-10,828,899,57,1074,777,0.723463687150838,False
34,F:\GP_Dataset\activities2\Subject09\Activity06\Trial1\Subject9Activity6Trial1Camera2,non_fall,0,fall,1,0.8900650143623352,0.11046678303162744,0.01922403834760189,108,179,57,1074,1051,0.978584729981378,False
35,F:\GP_Dataset\activities2\Subject09\Activity07\Trial1\Subject9Activity7Trial1Camera1,non_fall,0,fall,1,0.9974485039710999,0.03718495633232446,7.911843567853794e-06,414,485,58,1093,1092,0.9990850869167429,False
36,F:\GP_Dataset\activities2\Subject09\Activity07\Trial1\Subject9Activity7Trial1Camera2,non_fall,0,non_fall,0,0.017318734899163246,0.0005132755299940509,1.371963094243256e-06,18,89,58,1093,1093,1.0,False
37,F:\GP_Dataset\activities2\Subject09\Activity08\Trial1\Subject9Activity8Trial1Camera1,non_fall,0,fall,1,0.9993162155151367,0.02587375893246212,7.148651787712568e-13,0,71,57,1069,1068,0.9990645463049579,False
38,F:\GP_Dataset\activities2\Subject09\Activity08\Trial1\Subject9Activity8Trial1Camera2,non_fall,0,non_fall,0,0.0022365960758179426,7.515674964278824e-05,1.3026983936015313e-07,810,881,57,1069,1069,1.0,False
39,F:\GP_Dataset\activities2\Subject09\Activity09\Trial1\Subject9Activity9Trial1Camera1,non_fall,0,non_fall,0,0.0885072574019432,0.019570029944441424,0.05259627848863602,54,125,8,185,184,0.9945945945945946,False
40,F:\GP_Dataset\activities2\Subject09\Activity09\Trial1\Subject9Activity9Trial1Camera2,non_fall,0,non_fall,0,0.00040736389928497374,5.695237392605487e-05,5.1556357902882155e-06,36,107,8,185,184,0.9945945945945946,False
41,F:\GP_Dataset\activities2\Subject09\Activity10\Trial1\Subject9Activity10Trial1Camera1,non_fall,0,non_fall,0,4.984069619240472e-07,8.43805930562049e-08,8.654238436989203e-10,108,179,28,557,557,1.0,False
42,F:\GP_Dataset\activities2\Subject09\Activity10\Trial1\Subject9Activity10Trial1Camera2,non_fall,0,non_fall,0,9.046810522939097e-10,1.2994628842461513e-10,4.754949147096899e-13,450,521,28,557,557,1.0,False
43,F:\GP_Dataset\activities2\Subject09\Activity11\Trial1\Subject9Activity11Trial1Camera1,non_fall,0,non_fall,0,0.0002750348940026015,1.4060879033965386e-05,0.0002750348940026015,1022,1093,58,1094,1093,0.9990859232175503,False
44,F:\GP_Dataset\activities2\Subject09\Activity11\Trial1\Subject9Activity11Trial1Camera2,non_fall,0,non_fall,0,0.0007232357165776193,1.2472943572836012e-05,2.2267762633809696e-10,0,71,58,1094,1094,1.0,False
45,F:\GP_Dataset\activities2\Subject10\Activity06\Trial1\Subject10Activity6Trial1Camera1,non_fall,0,non_fall,0,0.1342482566833496,0.006094845815486088,2.2291056666290388e-05,396,467,60,1127,781,0.6929902395740906,False
46,F:\GP_Dataset\activities2\Subject10\Activity06\Trial1\Subject10Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.1512817513494079,1.009637981042033e-05,36,107,60,1127,1123,0.9964507542147294,False
47,F:\GP_Dataset\activities2\Subject10\Activity07\Trial1\Subject10Activity7Trial1Camera1,non_fall,0,fall,1,0.9196556806564331,0.023985940989616397,2.061135084829857e-08,36,107,56,1055,1054,0.9990521327014218,False
48,F:\GP_Dataset\activities2\Subject10\Activity07\Trial1\Subject10Activity7Trial1Camera2,non_fall,0,fall,1,0.8292574286460876,0.018588399535258565,5.72042235802428e-09,90,161,56,1055,1055,1.0,False
49,F:\GP_Dataset\activities2\Subject10\Activity08\Trial1\Subject10Activity8Trial1Camera1,non_fall,0,fall,1,0.9705161452293396,0.08688278701135406,0.7751097083091736,828,899,54,1023,1023,1.0,False
50,F:\GP_Dataset\activities2\Subject10\Activity08\Trial1\Subject10Activity8Trial1Camera2,non_fall,0,fall,1,0.9998582601547241,0.07372064847549521,1.3754826795775443e-05,918,989,54,1023,1023,1.0,False
51,F:\GP_Dataset\activities2\Subject10\Activity09\Trial1\Subject10Activity9Trial1Camera1,non_fall,0,non_fall,0,1.5101696817509946e-06,2.518760595128511e-07,6.590843149023584e-11,36,107,6,162,162,1.0,False
52,F:\GP_Dataset\activities2\Subject10\Activity09\Trial1\Subject10Activity9Trial1Camera2,non_fall,0,fall,1,0.9999017715454102,0.17295684715079954,1.3418739897019805e-08,54,125,6,162,162,1.0,False
53,F:\GP_Dataset\activities2\Subject10\Activity10\Trial1\Subject10Activity10Trial1Camera1,non_fall,0,non_fall,0,0.013377384282648563,0.0006844158616520386,1.936385132239593e-07,72,143,27,528,528,1.0,False
54,F:\GP_Dataset\activities2\Subject10\Activity10\Trial1\Subject10Activity10Trial1Camera2,non_fall,0,non_fall,0,1.4004673175804783e-05,7.860046748097525e-07,3.146131619113923e-11,90,161,27,528,528,1.0,False
55,F:\GP_Dataset\activities2\Subject10\Activity11\Trial1\Subject10Activity11Trial1Camera1,non_fall,0,non_fall,0,0.0009668593411333859,3.2531843173143655e-05,4.205962511605321e-07,648,719,56,1055,1054,0.9990521327014218,False
56,F:\GP_Dataset\activities2\Subject10\Activity11\Trial1\Subject10Activity11Trial1Camera2,non_fall,0,fall,1,0.8610509634017944,0.023470024495786678,1.939629984404334e-10,18,89,56,1055,1054,0.9990521327014218,False
57,F:\GP_Dataset\activities2\Subject11\Activity06\Trial1\Subject11Activity6Trial1Camera1,non_fall,0,fall,1,0.9973342418670654,0.06583126625187698,5.231900104263332e-07,234,305,61,1138,873,0.7671353251318102,False
58,F:\GP_Dataset\activities2\Subject11\Activity06\Trial1\Subject11Activity6Trial1Camera2,non_fall,0,fall,1,0.9815006256103516,0.2290172298079449,0.5380478501319885,792,863,61,1138,1138,1.0,False
59,F:\GP_Dataset\activities2\Subject11\Activity07\Trial1\Subject11Activity7Trial1Camera1,non_fall,0,non_fall,0,0.006781779229640961,0.00029669043646787606,7.295241175597766e-07,720,791,59,1110,1110,1.0,False
60,F:\GP_Dataset\activities2\Subject11\Activity07\Trial1\Subject11Activity7Trial1Camera2,non_fall,0,non_fall,0,0.144255593419075,0.004282525809825046,7.3297023845952936e-06,774,845,59,1110,1110,1.0,False
61,F:\GP_Dataset\activities2\Subject11\Activity08\Trial1\Subject11Activity8Trial1Camera1,non_fall,0,non_fall,0,0.052508529275655746,0.0011796385245014967,5.065265213488601e-06,36,107,55,1039,1039,1.0,False
62,F:\GP_Dataset\activities2\Subject11\Activity08\Trial1\Subject11Activity8Trial1Camera2,non_fall,0,non_fall,0,0.007069941610097885,0.0005805644829688251,4.073814125149511e-06,378,449,55,1039,1039,1.0,False
63,F:\GP_Dataset\activities2\Subject11\Activity09\Trial1\Subject11Activity9Trial1Camera1,non_fall,0,non_fall,0,4.4932301079825265e-07,9.449739916300578e-08,5.678869596792424e-10,18,89,7,180,179,0.9944444444444445,False
64,F:\GP_Dataset\activities2\Subject11\Activity09\Trial1\Subject11Activity9Trial1Camera2,non_fall,0,fall,1,0.642444372177124,0.09201590510131268,1.2438903468137141e-05,36,107,7,180,180,1.0,False
65,F:\GP_Dataset\activities2\Subject11\Activity10\Trial1\Subject11Activity10Trial1Camera1,non_fall,0,non_fall,0,3.531608308549039e-05,3.018658754288059e-06,9.835918746148309e-08,252,323,28,554,554,1.0,False
66,F:\GP_Dataset\activities2\Subject11\Activity10\Trial1\Subject11Activity10Trial1Camera2,non_fall,0,non_fall,0,5.882556592951005e-07,4.718246283691941e-08,2.174197627491381e-10,0,71,28,554,554,1.0,False
67,F:\GP_Dataset\activities2\Subject11\Activity11\Trial1\Subject11Activity11Trial1Camera1,non_fall,0,non_fall,0,0.0006913256947882473,3.660696700777013e-05,1.5876960191008038e-08,180,251,19,1084,24,0.02214022140221402,False
68,F:\GP_Dataset\activities2\Subject11\Activity11\Trial1\Subject11Activity11Trial1Camera2,non_fall,0,fall,1,1.0,0.28207258612821373,0.009413719177246094,0,71,58,1084,1084,1.0,False
69,F:\GP_Dataset\activities2\Subject12\Activity06\Trial1\Subject12Activity6Trial1Camera1,non_fall,0,fall,1,0.945412814617157,0.045278959007464314,1.560288728796877e-05,450,521,61,1145,850,0.74235807860262,False
70,F:\GP_Dataset\activities2\Subject12\Activity06\Trial1\Subject12Activity6Trial1Camera2,non_fall,0,fall,1,0.9845429062843323,0.24312556459547607,0.015916412696242332,252,323,61,1145,1144,0.9991266375545852,False
71,F:\GP_Dataset\activities2\Subject12\Activity07\Trial1\Subject12Activity7Trial1Camera1,non_fall,0,non_fall,0,0.03948440030217171,0.0007431263880872907,7.32301623429521e-06,72,143,59,1111,1110,0.9990999099909991,False
72,F:\GP_Dataset\activities2\Subject12\Activity07\Trial1\Subject12Activity7Trial1Camera2,non_fall,0,fall,1,0.5637081265449524,0.01660677343315589,1.723117759588888e-09,54,125,59,1111,1111,1.0,False
73,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial1\Subject1Activity7Trial1Camera1,non_fall,0,non_fall,0,0.051656823605298996,0.0016017433119760566,3.0551582312909886e-06,180,251,60,1121,1121,1.0,False
74,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial1\Subject1Activity7Trial1Camera2,non_fall,0,fall,1,0.9206852316856384,0.025834278558199773,2.565927275099966e-07,54,125,60,1121,1121,1.0,False
75,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial2\Subject1Activity7Trial2Camera1,non_fall,0,fall,1,0.869602382183075,0.02287805127095329,8.011380187716854e-13,468,539,59,1101,1101,1.0,False
76,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial2\Subject1Activity7Trial2Camera2,non_fall,0,non_fall,0,0.06121694669127464,0.001066072326235991,0.00031777555705048144,468,539,59,1101,1101,1.0,False
77,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial3\Subject1Activity7Trial3Camera1,non_fall,0,non_fall,0,0.004172257147729397,0.0001971611947019355,5.3626072471502084e-09,468,539,58,1084,1084,1.0,False
78,F:\GP_Dataset\activities6-11\Subject01\Activity07\Trial3\Subject1Activity7Trial3Camera2,non_fall,0,non_fall,0,0.02462216652929783,0.00042694256245071483,2.988152614236128e-09,522,593,58,1084,1084,1.0,False
79,F:\GP_Dataset\activities6-11\Subject01\Activity08\Trial1\Subject1Activity8Trial1Camera1,non_fall,0,fall,1,0.9999973773956299,0.12696216941540678,3.880782983856079e-08,36,107,57,1079,1079,1.0,False
80,F:\GP_Dataset\activities6-11\Subject01\Activity08\Trial1\Subject1Activity8Trial1Camera2,non_fall,0,fall,1,0.5917900800704956,0.011009118108306636,2.4368219442294503e-07,18,89,57,1079,1079,1.0,False
81,F:\GP_Dataset\activities6-11\Subject01\Activity09\Trial1\Subject1Activity9Trial1Camera1,non_fall,0,non_fall,0,8.445103048870806e-06,1.4011247675416172e-06,3.100913090747781e-07,36,107,8,181,180,0.994475138121547,False
82,F:\GP_Dataset\activities6-11\Subject01\Activity09\Trial1\Subject1Activity9Trial1Camera2,non_fall,0,non_fall,0,0.00019285555754322559,4.190077383923324e-05,2.823337581503438e-06,36,107,8,181,180,0.994475138121547,False
83,F:\GP_Dataset\activities6-11\Subject01\Activity10\Trial1\Subject1Activity10Trial1Camera1,non_fall,0,non_fall,0,4.998646181775257e-05,2.5211543767543953e-06,3.273910351708764e-06,432,503,27,530,530,1.0,False
84,F:\GP_Dataset\activities6-11\Subject01\Activity10\Trial1\Subject1Activity10Trial1Camera2,non_fall,0,non_fall,0,1.3481463945197447e-08,9.296123846098171e-10,6.460730284096883e-10,36,107,27,530,530,1.0,False
85,F:\GP_Dataset\activities6-11\Subject01\Activity11\Trial1\Subject1Activity11Trial1Camera1,non_fall,0,fall,1,0.5279780030250549,0.011002915952873412,2.2290639662969625e-06,144,215,56,1062,1061,0.9990583804143126,False
86,F:\GP_Dataset\activities6-11\Subject01\Activity11\Trial1\Subject1Activity11Trial1Camera2,non_fall,0,non_fall,0,1.81899122253526e-05,7.513033882853636e-07,3.108446139377108e-11,594,665,56,1062,1062,1.0,False
87,F:\GP_Dataset\activities6-11\Subject02\Activity06\Trial1\Subject2Activity6Trial1Camera1,non_fall,0,fall,1,0.9982064962387085,0.05840187079102567,5.511883500730619e-06,630,701,55,1033,769,0.744433688286544,False
88,F:\GP_Dataset\activities6-11\Subject02\Activity06\Trial1\Subject2Activity6Trial1Camera2,non_fall,0,fall,1,1.0,0.2837226546476728,0.03833597153425217,702,773,55,1033,1026,0.9932236205227493,False
89,F:\GP_Dataset\activities6-11\Subject02\Activity07\Trial1\Subject2Activity7Trial1Camera1,non_fall,0,fall,1,0.9964737296104431,0.09729989378315461,0.8101785182952881,324,395,57,1063,1062,0.9990592662276576,False
90,F:\GP_Dataset\activities6-11\Subject02\Activity07\Trial1\Subject2Activity7Trial1Camera2,non_fall,0,fall,1,0.8471314907073975,0.03155043634529412,0.0028334578964859247,0,71,57,1063,1063,1.0,False
91,F:\GP_Dataset\activities6-11\Subject02\Activity08\Trial1\Subject2Activity8Trial1Camera1,non_fall,0,fall,1,0.9672837853431702,0.05475292114778406,0.0007653674692846835,252,323,56,1056,1056,1.0,False
92,F:\GP_Dataset\activities6-11\Subject02\Activity08\Trial1\Subject2Activity8Trial1Camera2,non_fall,0,fall,1,0.9789819121360779,0.08630622692987577,5.135889935559135e-08,558,629,56,1056,1056,1.0,False
93,F:\GP_Dataset\activities6-11\Subject02\Activity09\Trial1\Subject2Activity9Trial1Camera1,non_fall,0,non_fall,0,6.630614279856673e-07,1.1321692717176345e-07,1.4031746431442116e-08,72,143,6,162,162,1.0,False
94,F:\GP_Dataset\activities6-11\Subject02\Activity09\Trial1\Subject2Activity9Trial1Camera2,non_fall,0,non_fall,0,0.23383349180221558,0.03962266435744007,0.00032894755713641644,54,125,6,162,162,1.0,False
95,F:\GP_Dataset\activities6-11\Subject02\Activity10\Trial1\Subject2Activity10Trial1Camera1,non_fall,0,non_fall,0,7.293221582216347e-09,3.963374399332017e-10,5.737089253508463e-15,306,377,23,459,459,1.0,False
96,F:\GP_Dataset\activities6-11\Subject02\Activity10\Trial1\Subject2Activity10Trial1Camera2,non_fall,0,non_fall,0,1.6831671018735506e-05,1.862291986431304e-06,1.382310488295957e-09,90,161,23,459,459,1.0,False
97,F:\GP_Dataset\activities6-11\Subject02\Activity11\Trial1\Subject2Activity11Trial1Camera1,non_fall,0,fall,1,0.9999808073043823,0.2130716304872021,6.046947191862273e-07,594,665,52,982,976,0.9938900203665988,False
98,F:\GP_Dataset\activities6-11\Subject02\Activity11\Trial1\Subject2Activity11Trial1Camera2,non_fall,0,fall,1,0.9997556805610657,0.08512057475802938,3.5868117720383452e-06,558,629,52,982,975,0.9928716904276986,False
99,F:\GP_Dataset\activities6-11\Subject03\Activity06\Trial1\Subject3Activity6Trial1Camera1,non_fall,0,fall,1,0.9688131213188171,0.020326579635777546,2.93666334982845e-06,180,251,60,1124,787,0.7001779359430605,False
100,F:\GP_Dataset\activities6-11\Subject03\Activity06\Trial1\Subject3Activity6Trial1Camera2,non_fall,0,fall,1,0.9951649904251099,0.17147157099410226,0.0010220697149634361,522,593,60,1124,1124,1.0,False
101,F:\GP_Dataset\activities6-11\Subject03\Activity07\Trial1\Subject3Activity7Trial1Camera1,non_fall,0,non_fall,0,0.043492063879966736,0.001124705827960595,1.2608690269644285e-07,126,197,59,1100,1099,0.9990909090909091,False
102,F:\GP_Dataset\activities6-11\Subject03\Activity07\Trial1\Subject3Activity7Trial1Camera2,non_fall,0,fall,1,0.999861478805542,0.08988741368026097,3.735347490874119e-05,432,503,59,1100,1100,1.0,False
103,F:\GP_Dataset\activities6-11\Subject03\Activity08\Trial1\Subject3Activity8Trial1Camera1,non_fall,0,fall,1,0.9999948740005493,0.04900416701781845,0.0454944372177124,972,1043,58,1088,1087,0.9990808823529411,False
104,F:\GP_Dataset\activities6-11\Subject03\Activity08\Trial1\Subject3Activity8Trial1Camera2,non_fall,0,non_fall,0,0.0813676044344902,0.002680367391962121,4.206338417134248e-06,972,1043,58,1088,1088,1.0,False
105,F:\GP_Dataset\activities6-11\Subject03\Activity09\Trial1\Subject3Activity9Trial1Camera1,non_fall,0,non_fall,0,3.77141623175703e-06,5.411347025385223e-07,3.77141623175703e-06,104,175,7,176,176,1.0,False
106,F:\GP_Dataset\activities6-11\Subject03\Activity09\Trial1\Subject3Activity9Trial1Camera2,non_fall,0,non_fall,0,0.24240624904632568,0.06898743483900484,4.466274461378816e-09,36,107,7,176,176,1.0,False
107,F:\GP_Dataset\activities6-11\Subject03\Activity10\Trial1\Subject3Activity10Trial1Camera1,non_fall,0,non_fall,0,5.0069562718135785e-08,4.77462646647814e-09,2.9961839231873455e-08,432,503,27,526,526,1.0,False
108,F:\GP_Dataset\activities6-11\Subject03\Activity10\Trial1\Subject3Activity10Trial1Camera2,non_fall,0,non_fall,0,2.4481647264984474e-10,1.4962140874952978e-11,2.024219279608136e-13,36,107,27,526,526,1.0,False
109,F:\GP_Dataset\activities6-11\Subject03\Activity11\Trial1\Subject3Activity11Trial1Camera1,non_fall,0,non_fall,0,0.00015900071593932807,4.5402587669761116e-06,1.6078909315098144e-09,954,1025,57,1069,1068,0.9990645463049579,False
110,F:\GP_Dataset\activities6-11\Subject03\Activity11\Trial1\Subject3Activity11Trial1Camera2,non_fall,0,non_fall,0,1.90802126098788e-07,7.067503274033281e-09,1.8192679362982744e-08,414,485,57,1069,1068,0.9990645463049579,False
111,F:\GP_Dataset\activities6-11\Subject04\Activity06\Trial1\Subject4Activity6Trial1Camera1,non_fall,0,non_fall,0,0.0929141417145729,0.0029562108002271835,1.7738350379659096e-06,414,485,58,1089,793,0.7281910009182736,False
112,F:\GP_Dataset\activities6-11\Subject04\Activity06\Trial1\Subject4Activity6Trial1Camera2,non_fall,0,fall,1,0.9975786805152893,0.2379276543804404,0.2240082174539566,900,971,58,1089,1088,0.9990817263544536,False
113,F:\GP_Dataset\activities6-11\Subject04\Activity07\Trial1\Subject4Activity7Trial1Camera1,non_fall,0,non_fall,0,0.01437551062554121,0.0007737131067136055,9.02201918506762e-06,522,593,58,1086,1085,0.9990791896869244,False
114,F:\GP_Dataset\activities6-11\Subject04\Activity07\Trial1\Subject4Activity7Trial1Camera2,non_fall,0,non_fall,0,0.013257190585136414,0.0006098621497801168,2.0410700017237104e-05,270,341,58,1086,1086,1.0,False
115,F:\GP_Dataset\activities6-11\Subject04\Activity08\Trial1\Subject4Activity8Trial1Camera1,non_fall,0,non_fall,0,0.07404105365276337,0.0014424440055635713,2.112866687165038e-10,324,395,57,1078,1078,1.0,False
116,F:\GP_Dataset\activities6-11\Subject04\Activity08\Trial1\Subject4Activity8Trial1Camera2,non_fall,0,non_fall,0,6.175863381940871e-05,1.7044338396964917e-06,6.082627805881202e-07,468,539,57,1078,1078,1.0,False
117,F:\GP_Dataset\activities6-11\Subject04\Activity09\Trial1\Subject4Activity9Trial1Camera1,non_fall,0,non_fall,0,0.0028604879043996334,0.00042184754802779674,3.0412724072448327e-07,36,107,7,178,178,1.0,False
118,F:\GP_Dataset\activities6-11\Subject04\Activity09\Trial1\Subject4Activity9Trial1Camera2,non_fall,0,fall,1,0.6468210816383362,0.0924792676029644,1.5201189640379198e-08,36,107,7,178,178,1.0,False
119,F:\GP_Dataset\activities6-11\Subject04\Activity10\Trial1\Subject4Activity10Trial1Camera1,non_fall,0,non_fall,0,3.89899696529028e-06,2.7816425865557336e-07,5.890685628173742e-08,198,269,27,533,533,1.0,False
120,F:\GP_Dataset\activities6-11\Subject04\Activity10\Trial1\Subject4Activity10Trial1Camera2,non_fall,0,non_fall,0,5.2780881887315445e-09,6.769122758493068e-10,6.417606029929246e-11,270,341,27,533,533,1.0,False
121,F:\GP_Dataset\activities6-11\Subject04\Activity11\Trial1\Subject4Activity11Trial1Camera1,non_fall,0,non_fall,0,0.0009978755842894316,3.679331401849597e-05,1.7678297581369407e-06,828,899,56,1058,1057,0.999054820415879,False
122,F:\GP_Dataset\activities6-11\Subject04\Activity11\Trial1\Subject4Activity11Trial1Camera2,non_fall,0,non_fall,0,2.3639716850709647e-09,5.757439514621326e-11,1.2493439510469391e-14,90,161,56,1058,1052,0.994328922495274,False
